S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
707,SAVoR,http://tesla.pcbi.upenn.edu/savor/,SAVoR is an easy-to-use web application that allows the user to visualize RNA-seq data and other genomic annotations on RNA secondary structures. ,Free web service,,Pragya,
708,MIDAS,http://sourceforge.net/projects/midas-nms/files/,"MIDAS is a cross platform Monitoring and NIDS server. The goal of this project is to build a robust  and complete network/system monitoring suite that is capable of scaling to very large networks.
      ",Free web service,,KAPIL,
709,MeV,http://sourceforge.net/projects/mev-tm4/,"MeV (Multiple Experiment Viewer) is a Java tool for genomic data analysis. MeV supports many different input formats, and provides an
intuitive graphical interface for clustering, classification, statistical analysis and theme discovery.",Free web service,,KAPIL,
710,"Charting Companion 5
",http://progenygenealogy.com/downloads/all-products-and-trials.aspx,you can create beautiful-looking family tree charts! Share your research with friends & relatives.,paid,,KAPIL,
711,The Social Security Death Index,http://progenygenealogy.com/downloads/all-products-and-trials.aspx,"With over 61 million records on a single CD, the Social Security Death
Index is a perfect starting point for your family history research.
Because of the sheer size of the database, chances are good that you'll
find one or more of your ancestors here.",paid,,KAPIL,
712,Genelines Universal,http://progenygenealogy.com/downloads/all-products-and-trials.aspx,"you can create seven customizable timeline charts that read files
directly from many popular genealogy software databases – without
exporting to GEDCOM. ",paid,,KAPIL,
713,jViz.Rna,http://jviz.cs.sfu.ca/,jViz.Rna 2.0 is a multi-platform visualization tool capable of displaying and comparing RNA secondary structures encoded in a number of file formats. A Java application for visualizing and annotating RNA Secondary Structures,Free. Available for download,,Pragya,
714,4SALE,http://4sale.bioapps.biozentrum.uni-wuerzburg.de/index.html,A tool for Synchronous RNA Sequence and Secondary Structure Alignment and Editing,Free. Available for download,,Pragya,
715,"ConStruct
",http://www.biophys.uni-duesseldorf.de/construct3/,"Multipurpose tool for alignment editing, secondary structure prediction and visualizing RNA alignments (new version).",Free. Available for download,,Pragya,
716,RootsWeb,http://www.rootsweb.ancestry.com/,The primary purpose and function of RootsWeb.com is to connect people so that they can help each other and share genealogical research. Most resources on RootsWeb.com are designed to facilitate such connections.,free,,KAPIL,
717,,,,,,,
718,loopDloop,http://iubio.bio.indiana.edu/IUBio-Software+Data/molbio/loopdloop/java/loopDloop-doc.html,loopDloop is a tool for drawing RNA secondary structures in molecular biology.,Free. Available for download.,,Pragya,
719,Cyber-T,http://cybert.microarray.ics.uci.edu/,"Cyber-T provides differential analysis tools for high-throughput data. The system handles many types of data, from DNA and Protein microarrays, to Next Generation Sequencing, to Quantitative Mass Spectrometry.",Free. Web service. Also available for download.,,Pragya,
720,NIA Array Analysis,http://lgsun.grc.nia.nih.gov/ANOVA/,"for microarray data analysis, which features the false discovery rate for testing statistical significance and the principal component analysis using the singular value decomposition method for detecting the global trends of gene-expression patterns.",Free web service.,,Pragya,
721,Mouse mRNA Degradation Rates,http://lgsun.grc.nia.nih.gov/mRNA/,Database of mRNA degradation rates in mouse ES cells,Free web service.,,Pragya,
722,M@CBETH,http://tomcat.esat.kuleuven.be/MACBETH/,Welcome to the M@CBETH web service for performing microarray classification. The M@CBETH (a MicroArray Classification BEnchmarking Tool on a Host server) web service offers the microarray community a simple tool for making optimal two-class predictions.,Web Service. Also available for download.,,Pragya,
723,MAGIC Tool,http://www.bio.davidson.edu/projects/MAGIC/MAGIC.html,MicroArray Genome Imaging & Clustering Tool,Free. Available for download.,,Pragya,
724,MLSTest,http://www.mlst.net/default.asp,"Multiple FASTA sequences can be loaded simultaneously. The user can view
 the alignment/polymorphic sites/codons and/or amino acids
interchangeably. Multiple options to modify, concatenate and export
alignments into different file formats are available",free,,kapil,
725,VAMPIRE,http://sasquatch.ucsd.edu/vampire/,microarray analysis suite - is a statistical framework that models the dependence of measurement variance on the level of gene expression in the context of a Bayesian hierarchical model.,Free. Can be used after registration.,,Pragya,
726,iGEMS,http://genomics10.bu.edu/terrence/gems/,Gene Expression Mining Server - simple but promising new approach for biclustering based on a Gibbs sampling paradigm.,Free Web Service.,,Pragya,
727,RNA-ensign,http://www.mybiosoftware.com/rna-analysis/12897,RNA-ensign is a program for designing RNA sequences folding into target secondary structures.,Free. Available for download.,,Pragya,
728,RactIP,https://code.google.com/p/ractip/downloads/list,Fast and accurate prediction of RNA-RNA interaction using integer programming.,Free. Available for download.,,Pragya,
729,4273π,http://eggg.st-andrews.ac.uk/4273pi/,"customized distribution of Raspbian GNU/Linux for the Raspberry Pi computer. 4273π is for those wishing to teach, learn or use bioinformatics on the Raspberry Pi. 4273π includes 4273π Bioinformatics for Biologists, an Open Access bioinformatics course",Free. Available for download.,,kapil,
730,bms_runner,http://eggg.st-andrews.ac.uk/bms_runner/,"bms_runner is a free script written by Daniel Barker and Mark Pagel. bms_runner uses the separate program BayesTraits to predict functional links among genes, on the basis of correlated gain and loss of genes from species’ genomes.",Free. Available for download.,,kapil,
731,FLRTFM,http://eggg.st-andrews.ac.uk/flrtfm/,FLRTFM (“Firth Logistic Regression Transcription Factor Models”) is a free script written by Ji-Hyun Lim. FLRTFM uses combined sequence and histone modification data to predict transcription factor binding sites.,Free. Available for download.,,kapil,
732,LVB,http://eggg.st-andrews.ac.uk/lvb/,"LVB is a free computer program written by Daniel Barker
 and Maximilian Strobl at the University of St Andrews. LVB uses
parsimony to reconstruct phylogeny from a nucleotide multiple alignment,
 using a simulated annealing heuristic search. This is suitable for
moderately large data matrices.",Free. Available for download.,,kapil,
733,patquest,http://eggg.st-andrews.ac.uk/software/,Genetic marker based inference of paternity and impacts of paternal traits on reproductive success,Free. Available for download.,,kapil,
734,simpops.mac,http://eggg.st-andrews.ac.uk/simpops-mac/,"simpops.mac is a free script written by Daniel Barker and Richard Sibly.
 simpops.mac uses the theta-logistic model of population regulation to
simulate observed population time series, with environmental
perturbation and measurement error.",Free. Available for download.,,kapil,
735,NGS-resources,http://genome.ucsc.edu/goldenPath,"Genome Browser in a Box (GBiB) is a small virtual machine version of the
 popular University of California Santa Cruz (UCSC) Genome Browser that
can be run on a researcher's own computer. Once GBiB is installed, a
standard web browser is used to access the virtual server and add
personal data files from the local hard disk. Annotation data are loaded
 on demand through the Internet from UCSC or can be downloaded to the
local computer for faster access.",paid,,kapil,
736,SVAMP,http://researchonline.lshtm.ac.uk/1673630/,"SVAMP is a stand-alone desktop application to visualize genomic variants
 (in variant call format) in the context of geographical metadata. Users
 of SVAMP are able to generate phylogenetic trees and perform principal
coordinate analysis in real time from variant call format (VCF) and
associated metadata files. ",FREE,,kapil,
737,jRNA,http://misc.speciesfile.org/rna/methods_automated.php,"A major goal is to produce a multiple sequence alignment (i.e.
series of homology statements) that agrees well with a known secondary
structure, using time-saving algorithms/programs and sacrificing as
little precision as possible.  While motif finding software does this in
 to some degree, their underlying goals are not always the phylogenetic
analysis of the end result, for example they may sacrifice
pattern-finding utility for confidence in homology, or the output may
not formated in a manner useable by tree-reconstruction utilities",FREE,,kapil,
738,phase2nexus.pl,http://misc.speciesfile.org/rna/download.php,"Converts PHASE tree output to a PAUP treefile.  The file does not
include a taxa or data block, these blocks must be loaded from a PAUP
datafile (use Jrna to make a nexus file with the same partitions and
execute this file first).  Executing the file output by the script in
PAUP generates a majority rule consensus tree which is automatically
saved to the file 'phase_consensus.tre'.  This result is then comparable
 to results generated in MrBayes.",FREE,,kapil,
739,phase2tracer.pl,http://misc.speciesfile.org/rna/download.php,"Loads PHASE 1.1 output files and returns a file of samples file similar to that generated by MrBayes.  This file can be loaded into Tracer, a handy program of use in examening parameter convergence.
",FREE,,kapil,
740,phy2flat.pl,http://misc.speciesfile.org/rna/download.php,Perl script converts interleaved Phylip formatted files to a single large interleave.,FREE,,kapil,
741,Clustal,http://misc.speciesfile.org/rna/methods_automated.php,"Clustal can be used to align sequences to an existing alignment, and can use a mask statement.",FREE,,kapil,
742,BRaliBase III,http://misc.speciesfile.org/rna/methods_automated.php,Cutting edge. Uses a scripted approach to tie together a number of new and existing software,FREE,,kapil,
743,HMMER,http://misc.speciesfile.org/rna/methods_automated.php,"While hmmer does not take into account secondary structure information
per se, training the hmmer model with an existing secondary-structure
based alignment is an effective way to estimate a first pass at the
structure of unaligned sequences. ",FREE,,kapil,
744,Infernal,http://misc.speciesfile.org/rna/methods_automated.php,"Practically, it functions much like HMMER, but this program takes into account covariance information.",FREE,,kapil,
745,BAli-Phy,http://misc.speciesfile.org/rna/methods_automated.php,Bayesian multiple alignment.  ,FREE,,kapil,
746,MARNA,http://misc.speciesfile.org/rna/methods_automated.php,"""The max. sequence length should not exceed 500 nt. The number of sequences depends on sequence lengths. The total sum of all sequence lengths is restricted to 10000 nt, e.g., you can paste 20 sequences with lengths of 500 nt each, or 100 sequences with lengths of 100 nt, each.""",FREE,,kapil,
747,comRNA,http://misc.speciesfile.org/rna/methods_automated.php," ""comRNA ... predicts common RNA secondary structure motifs in a group
of related sequences, developed by Yongmei Ji, Xing Xu and Gary Stormo
at Washington University in Saint Louis.""",FREE,,kapil,
748, GUIDANCE web server:,http://privman.haifa.ac.il/index.php/software," estimation
 of confidence scores for individual alignment positions or individual
residues, and filtering or masking of these unreliable positions to
reduce errors in downstream analyses such as positive selection
inference (dN/dS methods).",FREE,,kapil,
749, HomeBase web server,http://privman.haifa.ac.il/index.php/software,a searchable collection of homing endonucleases and their predicted target sequences for gene targeting applications.,FREE,,kapil,
750,SEMPHY package.,http://privman.haifa.ac.il/index.php/software,"Phylogeny
 reconstruction: improved accuracy of pairwise distance estimation for
neighbor joining and other distance-based phylogeny reconstruction
methods - available as part of the",FREE,,kapil,
751,FastMG,http://fastmg.codeplex.com/,"a simple, fast, and accurate maximum likelihood procedure to estimate amino acid replacement rate matrices from large data sets",FREE,,kapil,
752,BION2SEL,http://link.springer.com/chapter/10.1007/978-3-319-12418-6_11,An Ontology-based Approach for the Selection of Molecular Biology Databases,FREE,,kapil,
753,Biopieces,https://code.google.com/p/biopieces/,"a next generation sequencing experiment can be cleaned and analyzed – including plotting of scores and length distribution, removal of adaptor sequence, trimming and filtering using quality scores, mapping to a specified genome, and uploading the data to the UCSC genome browser for further analysis",FREE,,Pragya,Quality Control and Filtering Data
754,BBMap,http://sourceforge.net/projects/bbmap/,"Ultrafast, multithreaded tool to trim adapters and filter or mask contaminants based on kmer-matching, allowing a hamming- or edit-distance, as well as degenerate bases.",FREE and Open source,,Pragya,Quality Control and Filtering Data
755,Cutadapt,https://code.google.com/p/cutadapt/,"removes adapter sequences from next-generation sequencing data (Illumina, SOLiD and 454). It is used especially when the read length of the sequencing machine is longer than the sequenced molecule, like the microRNA case.",FREE,,Pragya,Quality Control and Filtering Data
756,Codetri,https://code.google.com/p/condetri/,"ConDeTri, a method for content dependent read trimming for Illumina data using quality scores of each base individually.",FREE,,Pragya,Quality Control and Filtering Data
757,seq_crumbs,http://bioinf.comav.upv.es/seq_crumbs/,a collection of small sequence processing utilities,FREE,,Pragya,Quality Control and Filtering Data
758,FASTX Toolkit,http://hannonlab.cshl.edu/fastx_toolkit/,"a collection of command line tools for Short-Reads FASTA/FASTQ files preprocessing. Next-Generation sequencing machines usually produce FASTA or FASTQ files, containing multiple short-reads sequences (possibly with quality information). It is better to preprocess these files before use.",FREE,,Pragya,Quality Control and Filtering Data
759,DeconSeq,http://deconseq.sourceforge.net/,Detect and remove contaminations from your sequence data,free,,Pragya,Quality Control and Filtering Data
760,FastQC,http://www.bioinformatics.babraham.ac.uk/projects/fastqc/,A quality control tool for high throughput sequence data.,free,,Pragya,Quality Control and Filtering Data
761,FastqMcf,https://code.google.com/p/ea-utils/wiki/FastqMcf,"Used to-Detect & remove sequencing adapters and primers
Detect limited skewing at the ends of reads and clip
Detect poor quality at the ends of reads and clip
Detect Ns, and remove from ends
Remove reads with CASAVA 'Y' flag (purity filtering)
Discard sequences that are too short after all of the above
Keep multiple mate-reads in sync while doing all of the above",free (souce available),,Pragya,Quality Control and Filtering Data
762,Flexbar,http://sourceforge.net/projects/flexbar/,Flexbar preprocesses high-throughput sequencing data efficiently. It demultiplexes barcoded runs and removes adapter sequences.,free,,Pragya,Quality Control and Filtering Data
763,FreClu,http://mlab.cb.k.u-tokyo.ac.jp/~quwei/DeNovoShortReadClustering/,"improves overall alignment accuracy performing sequencing-error correction by trimming short reads, based on a clustering methodology.",free,,Pragya,Quality Control and Filtering Data
764,HTSeq,http://www-huber.embl.de/users/anders/HTSeq/doc/qa.html#qa,The Python script htseq-qa takes a file with sequencing reads (either raw or aligned reads) and produces a PDF file with useful plots to assess the technical quality of a run.,free,,Pragya,Quality Control and Filtering Data
765,htSeqTools,http://www.bioconductor.org/packages/2.9/bioc/html/htSeqTools.html,"a Bioconductor package able to perform quality control, processing of data and visualization. htSeqTools makes possible visualize sample correlations, to remove over-amplification artifacts, to assess enrichment efficiency, to correct strand bias and visualize hits.",free,,Pragya,Quality Control and Filtering Data
766,PrinSeq,http://edwards.sdsu.edu/cgi-bin/prinseq/prinseq.cgi,"generates statistics of your sequence data for sequence length, GC content, quality scores, n-plicates, complexity, tag sequences, poly-A/T tails, odds ratios.",free,,Pragya,Quality Control and Filtering Data
767,Scythe,https://github.com/vsbuffalo/scythe,A 3'-end adapter contaminant trimmer,free and open source,,Pragya,Quality Control and Filtering Data
768,Sabre,https://github.com/najoshi/sabre,barcode demultiplexing and trimming tool for FastQ files,free and open source,,Pragya,Quality Control and Filtering Data
769,qrqc,http://bioconductor.org/packages/2.8/bioc/html/qrqc.html,a Bioconductor package to quick read quality control.,free,,Pragya,Quality Control and Filtering Data
770,RNA-SeQC,http://www.broadinstitute.org/cancer/cga/rnaseqc_download,"a tool with application in experiment design, process optimization and quality control before computational analysis. Essentially, provides three types of quality control: read counts, coverage and expression correlation.",free,,pragya,Quality Control and Filtering Data
771,RSeQC,https://code.google.com/p/rseqc/,"analyzes diverse aspects of RNA-Seq experiments: sequence quality, sequencing depth, strand specificity, GC bias, read distribution over the genome structure and coverage uniformity.",free,,pragya,Quality Control and Filtering Data http://sourceforge.net/projects/rseqc/
772,SAMStat,http://samstat.sourceforge.net/,"identifies problems and reports several statistics at different phases of the process. This tool evaluates unmapped, poorly and accurately mapped sequences independently to infer possible causes of poor mapping.",free,,pragya,Quality Control and Filtering Data
773,Sickle,https://github.com/najoshi/sickle,Windowed Adaptive Trimming for fastq files using quality,free and open source,,pragya,Quality Control and Filtering Data
774,ShortRead,http://www.bioconductor.org/packages/2.11/bioc/html/ShortRead.html,Classes and methods for high-throughput short-read sequencing data.,free,,pragya,Quality Control and FIltering Data
775,TagCleaner,http://tagcleaner.sourceforge.net/,Detect and trim your tag sequences from your sequence data,free,,pragya,""""
776,Trimmomatic,http://www.usadellab.org/cms/index.php?page=trimmomatic,performs a variety of trimming tasks for illumina paired-end and single ended data.,free,,pragya,""""
777,IdCheck,http://eqtl.rc.fas.harvard.edu/idcheck/,allows easy assessment of concordance between genotype (from SNP arrays or DNA sequencing) and gene expression (RNA-seq) samples. IDCheck compares the identity of RNA-seq reads and SNP genotypes using a likelihood based method.,free,,Pragya,""""
778,DeconRNASeq,http://www.bioconductor.org/packages/2.12/bioc/html/DeconRNASeq.html,DeconSeq is an R package for deconvolution of heterogeneous tissues based on mRNA-Seq data. It modeled expression levels from heterogeneous cell populations in mRNA-Seq as the weighted average of expression from different constituting cell types and predicted cell type proportions of single expression profiles.,free,,pragya,""""
779,FastQ Screen,http://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/,FastQ Screen allows you to screen a library of sequences in FastQ format against a set of sequence databases so you can see if the composition of the library matches with what you expect.,free,,pragya,""""
780,FLASH,http://ccb.jhu.edu/software/FLASH/,A fast accurate software to increase the length of reads by overlapping and merging mate pairs from fragments shorter than twice the length of reads.,free,,pragya,""""
781,RobiNA,http://mapman.gabipd.org/web/guest/robin,"RobiNA, a User Friendly Graphical Interface to Powerful Open Source Microarray and RNA-Seq* Processing",free,,pragya,""""
782,BFAST,http://sourceforge.net/projects/bfast/,"BFAST facilitates the fast and accurate mapping of short reads to reference sequences, where mapping billions of short reads with variants is of utmost importance.",free,,pragya,Alignment Tool
783,Bowtie,http://bowtie-bio.sourceforge.net/index.shtml,"Bowtie is an ultrafast, memory-efficient short read aligner. It aligns short DNA sequences (reads) to the human genome at a rate of over 25 million 35-bp reads per hour. Bowtie indexes the genome with a Burrows-Wheeler index to keep its memory footprint small: typically about 2.2 GB for the human genome (2.9 GB for paired-end).",free,,pragya,""""
784,Burrows-Wheeler Aligner,http://bio-bwa.sourceforge.net/,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. It consists of three algorithms: BWA-backtrack, BWA-SW and BWA-MEM.",free,,pragya,""""
785,SOAPdenevo,http://soap.genomics.org.cn/soapdenovo.html,"SOAPdenovo, a short read de novo assembly tool, is a package for assembling short oligonucleotide into contigs and scaffolds.",free,,pragya,""""
786,SOAP3/GPU,http://soap.genomics.org.cn/soap3.html,"SOAP3 is a GPU-based software for aligning short reads with a reference sequence. It can find all alignments with k mismatches, where k is chosen from 0 to 3. When compared with its previous version SOAP2, SOAP3 can be up to tens of times faster.",free,,pragya,""""
787,SOAPaligner/soap2,http://soap.genomics.org.cn/soapaligner.html,"SOAPaligner/soap2 is a program for faster and efficient alignment for short oligonucleotide onto reference sequences. SOAPaligner/soap2 is compatible with numerous applications, including single-read or pair-end resequencing.",free,,pragya,""""
788,SOAPsplice,http://soap.genomics.org.cn/soapsplice.html,SOAPsplice is designed to use RNA-Seq reads for genome-wide ab initio detection of splice junction sites and identification of alternative splicing (AS) events.,free,,pragya,""""
789,SOAPsnp,http://soap.genomics.org.cn/soapsnp.html,"SOAPsnp is an accurate consensus sequence builder based on soap1 and SOAPaligner/soap2's alignment output. It calculates a quality score for each consensus base, which can be used for any latter process to call SNPs.",free,,pragya,""""
790,SOAPindel,http://soap.genomics.org.cn/soapindel.html,SOAPindel is developed to find the insertion and deletion specially for re-sequence technology.,free,,pragya,""""
791,SOAPsv,http://soap.genomics.org.cn/SOAPsv.html,SOAPsv is a program for detecting the structural variation,free,,pragya,""""
792,GNUMAP,http://dna.cs.byu.edu/gnumap/,performs alignment using a probabilistic Needleman-Wunsch algorithm. This tool is able to handle alignment in repetitive regions of a genome without losing information. The output of the program was developed to make possible easy visualization using available software.,free,,pragya,""""
793,Maq,http://maq.sourceforge.net/maq-man.shtml,first aligns reads to reference sequences and after performs a consensus stage. On the first stage performs only ungapped alignment and tolerates up to 3 mismatches.,free,,pragya,""""
794,RNA-Skim,http://www.csbio.unc.edu/rs/,RNA-Skim: a rapid method for RNA-Seq quantification at transcript-level,free and open source,,pragya,
795,MIReNA,http://www.lgm.upmc.fr/mirena/index.html,MIReNA: A tool to find microRNAs with high accuracy and no learning at genome scale and from deep sequencing data.,free,,pragya,
796,miRExpress,http://mirexpress.mbc.nctu.edu.tw/,Analyzing high-throughput sequencing data for profiling microRNA expression,free,,pragya,
797,miR-PREFer,https://github.com/hangelwen/miR-PREFeR,microRNA PREdiction From small RNA-seq data,free and open source,,pragya,
798,miRDeep-P,http://faculty.virginia.edu/lilab/miRDP/,a computational tool for analyzing the microRNA transcriptome in plants,free,,pragya,
799,Queryable RNA-Seq Database,https://github.com/fatPerlHacker/queryable-rna-seq-database,"designed to simplify the process of RNA-seq analysis by providing the ability upload the result data from RNA-Seq analysis into a database, store it, and query it in many different ways.",free,,pragya,
800,CLASS,http://sourceforge.net/p/splicebox/wiki/CLASS/,CLASS is a program for assembling transcripts from RNA-seq reads aligned to a genome.,free,,pragya,Transcriptome Assemblers
801,RNA Seq Simulator,http://popmodels.cancercontrol.cancer.gov/gsr/packages/rna-seq-simulator/,"RSS takes SAM alignment files from RNA-Seq data and simulates over dispersed, multiple replica, differential, non-stranded RNA-Seq datasets.",free,,pragya,
802,RNASeqReadSimulator,http://alumni.cs.ucr.edu/~liw/rnaseqreadsimulator.html,"contains a set of simple Python scripts, command line driven. It generates random expression levels of transcripts (single or paired-end), equally simulates reads with a specific positional bias pattern and generates random errors from sequencing platforms.",free,,pragya,
803,RSEM Read Simulator,http://deweylab.biostat.wisc.edu/rsem/,RNA-Seq by Expectation Maximization,free,,pragya,
804,wgsim,https://github.com/lh3/wgsim,Wgsim is a small tool for simulating sequence reads from a reference genome.,free and open source,,pragya,
805,rlsim,https://github.com/sbotond/rlsim,A package for simulating RNA-seq library preparation with parameter estimation,free and open source,,pragya,
806,Rose,http://bibiserv.techfak.uni-bielefeld.de/rose/,Random model of sequence evolution,free,,pragya,
807,SISSI,http://www.cibiv.at/software/sissi/,"A software tool to generate data of related sequences along a given phylogeny, taking into account user defined system of neighbourhoods and instantaneous rate matrices.",free,,pragya,
808,BEERS,http://cbil.upenn.edu/BEERS/,BEERS was designed to benchmark RNA-Seq alignment algorithms and also algorithms that aim to reconstruct different isoforms and alternate splicing from RNA-Seq data,free,,pragya,a simulation engine for generating RNA-Seq data.
809,ALEXA-Seq,http://www.alexaplatform.org/alexa_seq/index.htm,A method for using massively parallel paired-end transcriptome sequencing for 'alternative expression analysis'.,free,,pragya,
810,Alt Event Finder,http://compbio.iupui.edu/group/6/pages/alteventfinder,A software tool for deriving data-driven alternative splicing (AS) events from RNA-seq data.,free,,pragya,
811,AltAnalyze,http://www.altanalyze.org/,"application for microarry, RNA-Seq and metabolomics analysis.",free,,pragya,
812,ASProfile,http://ccb.jhu.edu/software/ASprofile/,"a suite of programs for extracting, quantifying and comparing alternative splicing (AS) events from RNA-seq data.",free,,pragya,
813,AStalavista,http://sammeth.net/confluence/display/ASTA/2+-+Download,Alternative Splicing transcriptional landscape visualization tool.,free,,pragya,
814,casper,http://bioconductor.org/packages/release/bioc/html/casper.html,"counting paths across exons and estimates the fragment size and start distributions non-parametrically, which improves estimation precision.",free,,pragya,
815,DEXSeq,http://bioconductor.org/packages/release/bioc/html/DEXSeq.html,Inference of differential exon usage in RNA-Seq.,free,,pragya,
816,DiffSplice,http://www.netlab.uky.edu/p/bioinfo/DiffSplice,The Genome-Wide Detection of Differential Splicing Events with RNA-seq.,free,,pragya,http://www.netlab.uky.edu/p/bioinfo/DiffSplice/Download
817,DSGSeq,http://bioinfo.au.tsinghua.edu.cn/software/DSGseq/,This program is aimed to identify differentially spliced genes from two groups of RNA-seq samples.,free,,pragya,
818,dSpliceType,http://dsplicetype.sourceforge.net/,A generalized framework to systematically investigate the synergistic and antagonistic effects of differential splicing and differential expression.,free,,pragya,
819,ESClassifier,http://mlg.hit.edu.cn/ybai/ES/ESclass.html,A supervised machine learning-based approach for exon skipping event detection from RNA-Seq data.,free,,pragya,Exon Skipping Classifier. Uses Random Forest as the classification algorithm
820,FDM,http://csbio-linux001.cs.unc.edu/nextgen/software/FDM/,A graph-based statistical method to detect differential transcription using RNA-seq data,free,,pragya,
821,FineSplice,http://sourceforge.net/projects/finesplice/,A pipeline based on TopHat2 combined with a splice junction detection algorithm.,free,,pragya,
822,GLiMMPs,http://www.mimg.ucla.edu/faculty/xing/glimmps/,A robust statistical method for detecting splicing quantitative trait loci (sQTLs) from RNA-seq data.,free,,pragya,
823,GPSeq,http://omictools.com/gpseq-s746.html,"This is a software tool to analyze RNA-seq data to estimate gene and exon expression, identify differentially expressed genes, and differentially spliced exons.",free,,pragya,
824,IRCall,http://mlg.hit.edu.cn/ybai/IR/IRcallAndIRclass.html,A computational tool for intron retention (IR) event detection from RNA-Seq data,free,,pragya,Intron Retention Call
825,IRClassifier,http://mlg.hit.edu.cn/ybai/IR/IRcallAndIRclass.html,A supervised machine learning-based approach for IR event detection from RNA-Seq data. IRclassifier chooses J48 Decision Tree and Random Forest as the classification algorithms.,free,,pragya,Intron Retention Classifier
826,iso-kTSP,https://bitbucket.org/regulatorygenomicsupf/iso-ktsp,"A computational method, robust to biological and technical variability, which identifies significant transcript isoform changes across multiple samples",free,,pragya,
827,IUTA,http://www.niehs.nih.gov/research/resources/software/biostatistics/iuta/index.cfm,An analysis tool of Illumina paired-end mRNA-seq data for detecting differential usage of gene transcript isoforms.,free,,pragya,
828,JETTA,http://gluegrant1.stanford.edu/~junhee/JETTA/rnaseq.html,"to detect alternatively spliced exons between two conditions, for example, between two groups of treated and untreated patients in a typical clinical study",free,,pragya,
829,PSGInfer,http://deweylab.biostat.wisc.edu/psginfer/,Inference of alternative splicing from RNA-Seq data with probabilistic splice graphs,free,,pragya,
830,MISO,http://genes.mit.edu/burgelab/miso/,"A probabilistic framework that quantitates the expression level of alternatively spliced genes from RNA-Seq data, and identifies differentially regulated isoforms or exons across samples.",free,,pragya,
831,MATS,http://rnaseq-mats.sourceforge.net/,A computational tool to detect differential alternative splicing events from RNA-Seq data.,free,,pragya,Multivariate Analysis of Transcript Splicing
832,JuncBASE,http://compbio.berkeley.edu/proj/juncbase/Home.html,It is used to identify and classify alternative splicing events from RNA-Seq data,free,,pragya,
833,Quantas,http://zhanglab.c2b2.columbia.edu/index.php/Quantas_Documentation,A pipeline to analyze alternative splicing using RNA-Seq. gapless and countit are collectively named Quantas.,free,,pragya,
834,RACKJ,http://rackj.sourceforge.net/,"set of Java programs that analyze and compare RNA-seq data. In addition to RPKM (Reads Per Kbp per Million reads) values, RACKJ computes read counts for exons and splicing events. In so doing, it is feasible to compare two samples and identify genes with most significant difference in exon (splicing)-level.",free,,pragya,
835,rbamtools,http://cran.r-project.org/web/packages/rbamtools/index.html,"A full spectrum of accessibility to BAM for R users are provided such as reading, writing, extraction of subsets and plotting of alignment depth where the script syntax closely follows the SAM/BAM format. Additionally, rbamtools enables fast accumulative tabulation of splicing events over multiple BAM files.",free,,pragya,
836,RCDA,http://gfuncpathdb.ucdenver.edu/iddrc/chr21/HSA21qGene_software.php,"A genome-based transcript assembly tool comprising RCluster, that recursively clusters transcripts, and DAssemble, that generates composite transcript sequences through path-finding using a directed acyclic graph.",free,,pragya,
837,rDiff,http://cbio.mskcc.org/public/raetschlab/user/drewe/rdiff/,An open source tool for accurate detection of differential RNA processing from RNA-Seq data.,free,,pragya,
838,rMATS,http://rnaseq-mats.sourceforge.net/,A statistical model and computer program designed for detection of differential alternative splicing from replicate RNA-Seq data.,free,,pragya,
839,rSeqDiff,http://www-personal.umich.edu/~jianghui/rseqdiff/,An R package that can detect differential gene and isoform expressions from RNA-seq data of multiple biological conditions.,free,,pragya,
840,SigFuge,http://www.bioconductor.org/packages/release/bioc/html/SigFuge.html,A package to identify genomic loci exhibiting differential transcription patterns across many RNA-seq samples.,free,,pragya,
841,Sircah,http://www.bork.embl.de/Sircah/,Sircah is an application written in python that dectects and visualises alternative splicing events using spliced alignments.,free,,pragya,
842,SNPlice,https://code.google.com/p/snplice/,"A computational approach for identifying cis-acting, splice-modulating variants from RNA-seq datasets.",free,,pragya,"SNPlice mines RNA-seq datasets to find reads that span single nucleotide variant (SNV) loci and nearby splice junctions, assessing the co-occurrence of variants and molecules that remain unspliced at nearby exon-intron boundaries."
843,Solas,http://cmb.molgen.mpg.de/2ndGenerationSequencing/Solas/,"A package for the statistical language R, devoted to the analysis of next generation short read data of transcripts, generally called RNA-Seq.",free,,pragya,
844,SplAdder,https://github.com/ratschlab/spladder,"An alternative splicing toolbox, that takes RNA-Seq alignments and an annotation file as input to i) augment the annotation based on RNA-Seq evidence, ii) identify alternative splicing events present in the augmented annotation graph, iii) quantify and confirm these events based on the RNA-Seq data, and iv) test for significant quantitative differences.",free and open source,,pragya,
845,SplicePie,https://github.com/pulyakhina/splicing_analysis_pipeline,"A classification of RNA-Seq reads based on three major stages of splicing: pre-, intermediate- and post-splicing.",free and open source,,pragya,
846,spliceR,http://www.bioconductor.org/packages/2.13/bioc/html/spliceR.html,An easy-to-use tool that extends the usability of RNA-seq and assembly technologies by allowing greater depth of annotation of RNA-seq data.,free,,pragya,
